orixa_id	qualidade_id	nome
1	2	Alalupagema
1	2	Açuã
1	2	Beí
1	2	Bô
1	2	Bemi
1	2	Berí
1	2	Bomi
1	2	Bicuim
1	2	Borocum
1	2	Denim
1	2	Djeteiú
1	2	Dalé
1	2	Elupanda
1	2	Elauê
1	2	Fumí
1	2	Fumilalô
1	2	Lonã
1	2	Lakê
1	2	Modibau
1	2	Motim
1	2	Nabuê
1	2	Obí
1	2	Obê-emí
1	2	Sapatá
1	2	Xê
1	4	Ajanadá
1	4	Aguidê
1	4	Aguidê-omí
1	4	Borocum
1	4	Berim
1	4	Bí
1	4	Belomí
1	4	Birim
1	4	Bomí
1	4	Caminoloa
1	4	Dikí
1	4	Deí
1	4	Epanadá
1	4	Inguê
1	4	Kraví
1	4	Larom
1	4	Lonã
1	4	Lapô
1	4	Naum
1	4	Sebiú
1	4	Tukí
1	4	Tuebí
1	5	Apanadá
1	5	Bí-omí
1	5	Biomí
1	5	Bí
1	5	Darê
1	5	Deí
1	5	Demí
1	5	Emim
1	5	Funiqué
1	5	Gebí
1	5	Grajé
1	5	Idê
1	5	Lolú
1	5	Lonan
1	5	Lobí
1	5	Niquê
1	5	Remí
1	5	Tolalú
1	5	Tolabí
1	5	Unã
1	3	Aguidê
1	3	Aguidê-omí
1	3	Apanadá-lanã
1	3	Açanã
1	3	Bí
1	3	Bilanã
1	3	Belomí
1	3	Borocum
1	3	Borocum-lanã
1	3	Crony
1	3	Diquí
1	3	Dê
1	3	Deí
1	3	Darê
1	3	Emí
1	3	Funiqué
1	3	Haraxê
1	3	Hô
1	3	Homí
1	3	Krajeú
1	3	Kaminoloa
1	3	Laqué
1	3	Mí
1	3	Odeí
1	3	Omulúm
1	3	Tukí
1	3	Tirirí
1	3	Tiriri-lanã
2	6	Adeí
2	6	Abedê
2	6	Adiolá
2	6	Beí
2	6	Bomaté
2	6	Doveí
2	6	Deí
2	6	Elefá
2	6	Elunã
2	6	Jarê
2	6	Onira
2	6	Olobedê
2	6	Peremí
2	6	Roneí
2	6	Riolú
2	7	Adiocô
2	7	Adiolá
2	7	Avagã
2	7	Bolá
2	7	Beí
